year,sex,case,total,ln_total
1993 ,1 ,1 ,13783 ,9.53119 
1993 ,2 ,1 ,13223 ,9.48971 
1994 ,1 ,1 ,12666 ,9.44668 
1994 ,2 ,2 ,14842 ,9.60522 
1995 ,1 ,1 ,13932 ,9.54194 
1995 ,2 ,2 ,15995 ,9.68003 
1996 ,1 ,2 ,14525 ,9.58363 
1996 ,2 ,2 ,17053 ,9.74408 
1997 ,1 ,2 ,13782 ,9.53112 
1997 ,2 ,2 ,17181 ,9.75156 
1998 ,1 ,3 ,16483 ,9.71008 
1998 ,2 ,5 ,19484 ,9.87735 
1999 ,1 ,3 ,19385 ,9.87225 
1999 ,2 ,6 ,18753 ,9.83911 
2000 ,1 ,5 ,16458 ,9.70857 
2000 ,2 ,5 ,18907 ,9.84729 
2001 ,1 ,4 ,20189 ,9.91289 
2001 ,2 ,7 ,24503 ,10.10655 
2002 ,1 ,3 ,17983 ,9.79718 
2002 ,2 ,5 ,19932 ,9.90008 
2003 ,1 ,4 ,19066 ,9.85566 
2003 ,2 ,5 ,23931 ,10.08293 
2004 ,1 ,3 ,16743 ,9.72574 
2004 ,2 ,5 ,18779 ,9.84049 
2005 ,1 ,4 ,17512 ,9.77064 
2005 ,2 ,6 ,20186 ,9.91274 
2006 ,1 ,3 ,17546 ,9.77258 
2006 ,2 ,6 ,21123 ,9.95812 
2007 ,1 ,6 ,18073 ,9.80217 
2007 ,2 ,6 ,22410 ,10.01726 
2008 ,1 ,5 ,16590 ,9.71656 
2008 ,2 ,8 ,18960 ,9.85009 
2009 ,1 ,4 ,17304 ,9.75869 
2009 ,2 ,8 ,18086 ,9.80289 
2010 ,1 ,8 ,20112 ,9.90907 
2010 ,2 ,8 ,23054 ,10.04559 
2011 ,1 ,5 ,22110 ,10.00379 
2011 ,2 ,11 ,23822 ,10.07836 
